時間戳記,電燈狀態,溫度,濕度
2025-12-03 17:12:18,關,24.43,58.42
2025-12-03 17:17:18,關,26.74,64.23
2025-12-03 17:22:18,關,28.8,63.94
2025-12-03 17:27:18,關,25.49,66.72
2025-12-03 17:32:18,關,28.06,64.55
2025-12-03 17:37:18,關,25.57,67.69
2025-12-03 17:42:18,關,30.13,61.46
2025-12-03 17:47:18,開,30.64,63.4
2025-12-03 17:52:18,關,29.84,63.56
2025-12-03 17:57:18,關,30.41,56.93
2025-12-03 18:02:18,關,22.04,63.76
2025-12-03 18:07:18,關,26.2,59.95
2025-12-03 18:12:18,關,23.68,61.01
2025-12-03 18:17:18,開,26.35,66.78
2025-12-03 18:22:18,關,27.68,61.55
2025-12-03 18:27:18,關,26.03,64.48
2025-12-03 18:32:18,關,26.73,55.03
2025-12-03 18:37:18,開,25.75,58.39
2025-12-03 18:42:18,開,29.15,57.51
2025-12-03 18:47:18,關,32.27,64.53
2025-12-03 18:52:18,開,22.24,61.35
2025-12-03 18:57:18,關,28.43,61.45
2025-12-03 19:02:18,開,23.73,63.27
2025-12-03 19:07:18,開,28.18,61.2
2025-12-03 19:12:18,開,26.58,59.56
2025-12-03 19:17:18,開,28.87,56.73
2025-12-03 19:22:18,關,27.72,62.2
2025-12-03 19:27:18,開,25.69,66.36
2025-12-03 19:32:18,關,30.75,65.29
2025-12-03 19:37:18,開,27.97,59.24
2025-12-03 19:42:18,關,27.25,63.3
2025-12-03 19:47:18,關,24.03,65.58
2025-12-03 19:52:18,開,28.61,61.31
2025-12-03 19:57:18,開,24.59,62.28
2025-12-03 20:02:18,開,24.26,63.19
2025-12-03 20:07:18,開,27.39,59.22
2025-12-03 20:12:18,關,27.12,63.45
2025-12-03 20:17:18,關,26.38,62.22
2025-12-03 20:22:18,開,27.36,66.65
2025-12-03 20:27:18,開,32.2,62.41
2025-12-03 20:32:18,關,27.79,60.15
2025-12-03 20:37:18,開,23.64,56.62
2025-12-03 20:42:18,關,24.63,61.01
2025-12-03 20:47:18,開,23.91,57.88
2025-12-03 20:52:18,開,28.98,67.45
2025-12-03 20:57:18,開,28.21,69.0
2025-12-03 21:02:18,關,27.12,66.13
2025-12-03 21:07:18,開,27.09,68.91
2025-12-03 21:12:18,開,30.14,62.8
2025-12-03 21:17:18,開,29.01,58.51
2025-12-04 18:14:34,開,27.52,54.93
2025-12-04 18:14:36,關,21.96,49.52
2025-12-04 18:14:38,開,20.92,45.59
2025-12-04 18:14:40,關,29.08,66.71
2025-12-04 18:14:42,開,23.73,49.46
2025-12-04 18:14:44,關,24.94,66.17
2025-12-04 18:14:46,開,15.62,64.55
2025-12-04 18:14:48,關,16.04,40.62
2025-12-04 18:14:50,開,22.19,40.97
2025-12-04 18:14:52,關,19.91,56.6
2025-12-04 18:15:46,開,20.94,63.02
2025-12-04 18:15:48,關,25.03,40.58
2025-12-04 18:15:50,開,23.46,59.93
2025-12-04 18:15:52,關,24.11,64.53
2025-12-04 18:15:54,開,22.95,53.06
2025-12-04 18:15:56,關,19.04,63.61
2025-12-04 18:15:58,開,25.12,58.6
2025-12-04 18:16:00,關,17.68,40.87
2025-12-04 18:16:02,開,28.19,49.85
2025-12-04 18:16:04,關,27.93,51.04
